relation: people.ethnicity.languages_spoken, KHs: 1.0
relation: film.film.country, KHs: 1.0
relation: location.location.contains, KHs: 1.0
relation: common.topic.notable_types, KHs: 1.0
relation: people.person.profession, KHs: 1.0
relation: government.government_position_held.office_position_or_title, KHs: 1.0
relation: film.film.genre, KHs: 1.0
relation: location.location.containedby, KHs: 1.0
relation: location.location.people_born_here, KHs: 1.0
relation: book.written_work.author, KHs: 1.0
relation: people.person.nationality, KHs: 1.0
relation: music.artist.origin, KHs: 1.0
relation: media_common.netflix_genre.titles, KHs: 1.0
relation: time.time_zone.locations_in_this_time_zone, KHs: 1.0
relation: film.producer.film, KHs: 1.0
relation: location.mailing_address.state_province_region, KHs: 1.0
relation: music.artist.genre, KHs: 1.0
relation: location.location.time_zones, KHs: 1.0
relation: government.governmental_body.members, KHs: 1.0
relation: people.person.place_of_birth, KHs: 1.0
relation: music.track_contribution.role, KHs: 1.0
relation: government.government_position_held.jurisdiction_of_office, KHs: 1.0
relation: music.artist.track, KHs: 1.0
relation: people.deceased_person.place_of_burial, KHs: 1.0
relation: baseball.batting_statistics.season, KHs: 1.0
relation: location.location.adjoin_s, KHs: 1.0
relation: education.education.major_field_of_study, KHs: 1.0
relation: location.mailing_address.citytown, KHs: 1.0
relation: music.composer.compositions, KHs: 1.0
relation: music.group_member.instruments_played, KHs: 1.0
relation: base.schemastaging.athlete_salary.team, KHs: 1.0
relation: fictional_universe.fictional_character.parents, KHs: 1.0
relation: book.book_subject.works, KHs: 1.0
relation: music.artist.track_contributions, KHs: 1.0
relation: location.mailing_address.country, KHs: 1.0
relation: government.political_party.politicians_in_this_party, KHs: 1.0
relation: people.place_lived.location, KHs: 1.0
relation: soccer.football_player.position_s, KHs: 1.0
relation: people.person.ethnicity, KHs: 1.0
relation: people.person.religion, KHs: 1.0
relation: film.music_contributor.film, KHs: 1.0
relation: basketball.basketball_player_stats.season, KHs: 1.0
relation: government.political_party_tenure.politician, KHs: 1.0
relation: baseball.batting_statistics.team, KHs: 1.0
relation: sports.sports_team.roster, KHs: 1.0
relation: visual_art.visual_artist.associated_periods_or_movements, KHs: 1.0
relation: sports.professional_sports_team.draft_picks, KHs: 1.0
relation: people.deceased_person.place_of_death, KHs: 1.0
relation: base.schemastaging.phone_sandbox.service_location, KHs: 1.0
relation: olympics.olympic_athlete_affiliation.country, KHs: 1.0
relation: military.military_person.participated_in_conflicts, KHs: 1.0
relation: book.author.book_editions_published, KHs: 1.0
relation: meteorology.tropical_cyclone.affected_areas, KHs: 1.0
relation: education.education.institution, KHs: 1.0
relation: film.person_or_entity_appearing_in_film.films, KHs: 1.0
relation: base.culturalevent.event.entity_involved, KHs: 1.0
relation: film.film.starring, KHs: 1.0
relation: government.governmental_jurisdiction.governing_officials, KHs: 1.0
relation: film.film.featured_film_locations, KHs: 1.0
relation: education.education.degree, KHs: 1.0
relation: sports.sports_team.location, KHs: 1.0
relation: film.film_character.portrayed_in_films, KHs: 1.0
relation: people.deceased_person.cause_of_death, KHs: 1.0
relation: olympics.olympic_medal_honor.olympics, KHs: 1.0
relation: language.human_language.main_country, KHs: 1.0
relation: tv.tv_character.appeared_in_tv_program, KHs: 1.0
relation: baseball.lifetime_batting_statistics.last_statistics_season, KHs: 1.0
relation: people.person.children, KHs: 1.0
relation: education.educational_institution.colors, KHs: 1.0
relation: location.location.events, KHs: 1.0
relation: american_football.player_game_statistics.team, KHs: 1.0
relation: geography.river.basin_countries, KHs: 1.0
relation: time.event.locations, KHs: 1.0
relation: music.track_contribution.track, KHs: 1.0
relation: music.group_membership.role, KHs: 1.0
relation: base.aareas.schema.administrative_area.administrative_area_type, KHs: 1.0
relation: symbols.namesake.named_after, KHs: 1.0
relation: award.award_category.winners, KHs: 1.0
relation: film.production_company.films, KHs: 1.0
relation: geography.island.body_of_water, KHs: 1.0
relation: olympics.olympic_athlete_affiliation.sport, KHs: 1.0
relation: base.activism.activist.area_of_activism, KHs: 1.0
relation: language.human_language.language_family, KHs: 1.0
relation: book.book_character.appears_in_book, KHs: 1.0
relation: location.location.partially_contains, KHs: 1.0
relation: government.politician.government_positions_held, KHs: 1.0
relation: organization.organization.geographic_scope, KHs: 1.0
relation: broadcast.artist.content, KHs: 1.0
relation: award.award_nomination.award_nominee, KHs: 1.0
relation: visual_art.visual_artist.art_forms, KHs: 1.0
relation: influence.influence_node.influenced_by, KHs: 1.0
relation: sports.sports_team_roster.team, KHs: 1.0
relation: olympics.olympic_medal_honor.country, KHs: 1.0
relation: symbols.name_source.namesakes, KHs: 1.0
relation: location.partial_containment_relationship.partially_contains, KHs: 1.0
relation: government.government_position_held.district_represented, KHs: 1.0
relation: book.author.works_written, KHs: 1.0
relation: baseball.lifetime_batting_statistics.ending_season, KHs: 1.0
relation: music.composition.composer, KHs: 1.0
relation: american_football.player_receiving_statistics.team, KHs: 1.0
relation: people.marriage.spouse, KHs: 1.0
relation: location.country.languages_spoken, KHs: 1.0
relation: sports.sports_team.colors, KHs: 1.0
relation: time.recurring_event.instances, KHs: 1.0
relation: film.film_series.films_in_series, KHs: 1.0
relation: government.government_position_held.office_holder, KHs: 1.0
relation: american_football.football_player.position_s, KHs: 1.0
relation: organization.organization.place_founded, KHs: 1.0
relation: government.government_office_or_title.office_holders, KHs: 1.0
relation: sports.sports_award.season, KHs: 1.0
relation: visual_art.artwork.art_form, KHs: 1.0
relation: book.author.school_or_movement, KHs: 1.0
relation: government.government_position_held.basic_title, KHs: 1.0
relation: sports.sports_team_owner.teams_owned, KHs: 1.0
relation: music.lyricist.lyrics_written, KHs: 1.0
relation: location.hud_county_place.county, KHs: 1.0
relation: music.artist.album, KHs: 1.0
relation: common.notable_for.object, KHs: 1.0
relation: organization.organization.founders, KHs: 1.0
relation: government.government_position_held.governmental_body, KHs: 1.0
relation: basketball.basketball_player_stats.team, KHs: 1.0
relation: sports.sports_team.sport, KHs: 1.0
relation: law.inventor.inventions, KHs: 1.0
relation: sports.sports_team_roster.position, KHs: 1.0
relation: film.writer.film, KHs: 1.0
relation: award.award_honor.honored_for, KHs: 1.0
relation: music.artist.label, KHs: 1.0
relation: film.performance.film, KHs: 1.0
relation: location.adjoining_relationship.adjoins, KHs: 1.0
relation: award.award_winning_work.awards_won, KHs: 1.0
relation: film.actor.film, KHs: 1.0
relation: people.family.country, KHs: 1.0
relation: influence.influence_node.influenced, KHs: 1.0
relation: fictional_universe.fictional_character_creator.fictional_characters_created, KHs: 1.0
relation: location.citytown.postal_codes, KHs: 1.0
relation: geography.mountain.mountain_type, KHs: 1.0
relation: book.literary_series.works_in_this_series, KHs: 1.0
relation: people.sibling_relationship.sibling, KHs: 1.0
relation: music.group_member.membership, KHs: 1.0
relation: people.person.education, KHs: 1.0
relation: sports.pro_athlete.teams, KHs: 1.0
relation: military.military_combatant_group.combatants, KHs: 1.0
relation: fictional_universe.fictional_character.place_of_birth, KHs: 1.0
relation: dining.restaurant.cuisine, KHs: 1.0
relation: base.biblioness.bibs_location.country, KHs: 1.0
relation: business.business_operation.industry, KHs: 1.0
relation: people.person.places_lived, KHs: 1.0
relation: common.notable_for.notable_object, KHs: 1.0
relation: geography.mountain.mountain_range, KHs: 1.0
relation: people.person.parents, KHs: 1.0
relation: travel.travel_destination.tourist_attractions, KHs: 1.0
relation: award.award_honor.award, KHs: 1.0
relation: organization.organization.headquarters, KHs: 1.0
relation: award.award_honor.award_winner, KHs: 1.0
relation: fictional_universe.fictional_character.appears_in_these_fictional_universes, KHs: 1.0
relation: people.marriage.location_of_ceremony, KHs: 1.0
relation: film.director.film, KHs: 1.0
relation: sports.sports_league_draft_pick.player, KHs: 1.0
relation: film.performance.actor, KHs: 1.0
relation: base.schemastaging.athlete_extra.salary, KHs: 1.0
relation: fictional_universe.fictional_character.powers_or_abilities, KHs: 1.0
relation: base.aareas.schema.administrative_area.administrative_parent, KHs: 1.0
relation: location.location.partially_containedby, KHs: 1.0
relation: base.popstra.dated.participant, KHs: 1.0
relation: baseball.baseball_player.position_s, KHs: 1.0
relation: film.performance.special_performance_type, KHs: 1.0
relation: location.country.first_level_divisions, KHs: 1.0
relation: aviation.aircraft_manufacturer.aircraft_models_made, KHs: 1.0
relation: location.imports_and_exports.imported_from, KHs: 1.0
relation: base.aareas.schema.administrative_area.administrative_children, KHs: 1.0
relation: location.religion_percentage.religion, KHs: 1.0
relation: geography.river.mouth, KHs: 1.0
relation: sports.sports_team.venue, KHs: 1.0
relation: business.employment_tenure.company, KHs: 1.0
relation: tv.tv_guest_role.actor, KHs: 1.0
relation: government.politician.party, KHs: 1.0
relation: education.educational_institution.mascot, KHs: 1.0
relation: common.topic.notable_for, KHs: 1.0
relation: music.musical_group.member, KHs: 1.0
relation: sports.sports_award.award_winner, KHs: 1.0
relation: organization.organization_board_membership.member, KHs: 1.0
relation: film.personal_film_appearance.film, KHs: 1.0
relation: basketball.basketball_player.position_s, KHs: 1.0
relation: visual_art.visual_artist.artworks, KHs: 1.0
relation: royalty.kingdom.rulers, KHs: 1.0
relation: music.group_membership.group, KHs: 1.0
relation: time.event.includes_event, KHs: 1.0
relation: fictional_universe.fictional_character.character_created_by, KHs: 1.0
relation: sports.sports_league_draft_pick.team, KHs: 1.0
relation: film.performance.character, KHs: 1.0
relation: location.country.form_of_government, KHs: 1.0
relation: baseball.baseball_team_stats.season, KHs: 1.0
relation: people.person.spouse_s, KHs: 1.0
relation: government.political_district.representatives, KHs: 1.0
relation: biology.animal_breed.place_of_origin, KHs: 1.0
relation: tv.regular_tv_appearance.series, KHs: 1.0
relation: organization.membership_organization.members, KHs: 1.0
relation: transportation.bridge.locale, KHs: 1.0
relation: film.film.other_crew, KHs: 1.0
relation: location.statistical_region.places_imported_from, KHs: 1.0
relation: business.shopping_center.address, KHs: 1.0
relation: organization.organization_founder.organizations_founded, KHs: 1.0
relation: tv.tv_personality.tv_regular_appearances, KHs: 1.0
relation: people.person.sibling_s, KHs: 1.0
relation: government.political_party_tenure.party, KHs: 1.0
relation: people.appointee.position, KHs: 1.0
relation: location.administrative_division.country, KHs: 1.0
relation: film.film_story_contributor.film_story_credits, KHs: 1.0
relation: location.country.capital, KHs: 0.5
relation: medicine.notable_person_with_medical_condition.condition, KHs: 1.0
relation: sports.sports_team_roster.player, KHs: 1.0
relation: business.employer.employees, KHs: 1.0
relation: award.award_nominated_work.award_nominations, KHs: 1.0
relation: location.location.street_address, KHs: 1.0
relation: sports.professional_sports_team.owner_s, KHs: 1.0
relation: sports.sports_league_draft_pick.school, KHs: 1.0
relation: tv.regular_tv_appearance.character, KHs: 1.0
relation: fictional_universe.fictional_character.occupation, KHs: 1.0
relation: travel.tourist_attraction.near_travel_destination, KHs: 1.0
relation: location.imports_and_exports.exported_to, KHs: 1.0
relation: business.employment_tenure.person, KHs: 1.0
relation: language.human_language.dialects, KHs: 1.0
relation: sports.sports_championship_event.champion, KHs: 1.0
relation: base.petbreeds.dog_breed.color, KHs: 1.0
relation: geography.river.origin, KHs: 1.0
relation: periodicals.newspaper_circulation_area.newspapers, KHs: 1.0
relation: sports.sports_team_location.teams, KHs: 1.0
relation: organization.organization_membership.organization, KHs: 1.0
relation: base.popstra.religion_choice.religion, KHs: 1.0
relation: base.usnationalparks.us_national_park.state, KHs: 1.0
relation: sports.pro_athlete.sports_played_professionally, KHs: 1.0
relation: base.rosetta.languoid.parent, KHs: 1.0
relation: location.partial_containment_relationship.partially_contained_by, KHs: 1.0
relation: american_football.football_coach.coaching_history, KHs: 1.0
relation: base.government2.elected_official.elected_positions_held, KHs: 1.0
relation: location.statistical_region.places_exported_to, KHs: 1.0
relation: organization.organization.child, KHs: 1.0
relation: baseball.baseball_league.teams, KHs: 1.0
relation: law.court.legal_cases, KHs: 1.0
relation: royalty.monarch.kingdom, KHs: 1.0
relation: basketball.basketball_player.player_statistics, KHs: 1.0
