m.03cfqmy	people.ethnicity.languages_spoken	m.02h40lc
g.1227ctn5	film.film.country	m.06mkj
m.09c7w0	location.location.contains	m.04c2lz_
m.04vk_1z	common.topic.notable_types	m.01xryw5
m.09pfdr2	common.topic.notable_types	m.01xryvt
m.0110g87b	people.person.profession	m.02jknp
m.04r158	people.person.profession	m.02h664x
m.09rflm2	government.government_position_held.office_position_or_title	m.0cgqx
m.0cr_264	film.film.genre	m.03g3w
m.071yx_	location.location.containedby	m.06bnz
m.0g4ty9m	film.film.country	m.05r4w
m.0156q	location.location.people_born_here	m.031xj4
m.0y5sdfp	book.written_work.author	m.019fz
m.05qhw	location.location.contains	m.022mkv
m.05kr_	location.location.contains	m.07fk4x
m.0111d8qx	people.person.nationality	m.0162b
m.0rh6k	location.location.people_born_here	m.02qd3hj
m.071vr	location.location.contains	m.05b44_
m.0411lp3	people.person.profession	m.01c72t
m.094jv	location.location.contains	m.04jlwk
m.0105b19y	people.person.nationality	m.09c7w0
m.01mhtht	music.artist.origin	m.06q1r
m.010hhg2q	people.person.profession	m.02jknp
m.0c3351	media_common.netflix_genre.titles	m.091w1s
m.0j1_w9g	people.person.profession	m.03gjzk
m.02pl66d	people.person.nationality	m.09c7w0
m.02fqwt	time.time_zone.locations_in_this_time_zone	m.0x12j
m.03n93	film.producer.film	m.02r9t2_
m.035_kg	people.person.profession	m.0d8qb
m.02hcv8	time.time_zone.locations_in_this_time_zone	m.05qt2z
m.03v0t	location.location.contains	m.048_n9x
m.0hhb5yh	people.person.profession	m.02hrh1q
m.04ykg	location.location.people_born_here	m.047ffmr
m.07ztl7	people.person.profession	m.04gc2
m.09c7w0	location.location.contains	m.0s_4z
m.02_286	location.location.people_born_here	m.015l1l
m.0262ngy	people.person.profession	m.012t_z
m.04b31rn	location.location.containedby	m.04tgp
m.01f62	location.location.people_born_here	m.05mwh4f
m.01cx_	location.location.contains	m.04crcvn
m.05qtj	location.location.people_born_here	m.03gw8hv
m.02_286	location.location.people_born_here	m.0cw7gt
m.0dhdbzq	location.mailing_address.state_province_region	m.07z1m
m.0_mxm1f	people.person.profession	m.02jknp
m.01rlk5k	music.artist.genre	m.016clz
m.0bjbt9q	people.person.nationality	m.0f8l9c
m.0rzbl	location.location.time_zones	m.02hcv8
m.010yl7rr	people.person.profession	m.0cbd2
m.0b3wk	government.governmental_body.members	m.0bc_0v8
m.03hjznn	people.person.place_of_birth	m.0c1xm
m.01vnwk	people.person.profession	m.01pxg
m.0gc1048	people.person.nationality	m.09c7w0
m.0498y	location.location.contains	m.0fy0tj
m.0_zd6	location.location.containedby	m.07b_l
m.0tdv9	location.location.time_zones	m.02hcv8
m.0gcy71t	people.person.profession	m.02hrh1q
m.0wcvg48	music.track_contribution.role	m.0342h
g.122wzdvy	people.person.profession	m.09l65
m.030qb3t	location.location.people_born_here	m.02x71nc
m.0wpj74m	people.person.profession	m.02hrh1q
m.061cb6	common.topic.notable_types	m.01xryvt
m.04kns99	government.government_position_held.jurisdiction_of_office	m.04ych
m.01vs_v8	music.artist.track	m.0qjnrk9
m.027fx3z	people.person.profession	m.0kyk
m.0y7x_52	people.person.nationality	m.09c7w0
m.02_286	location.location.people_born_here	m.0n5k2w3
m.0d9xq	music.artist.track	m.0mwtg5
m.07lq_2	common.topic.notable_types	m.01xryvt
m.09c7w0	location.location.contains	m.0wj51
